Date Time,No of cycles,Row0-Sensor1,Row0-Sensor2,Row1-Sensor1,Row1-Sensor2
25:57.5,456,3330,8638,5951,894
33:48.0,457,3330,8658,5951,904
41:38.4,458,3330,8659,5951,904
49:28.7,459,3330,8649,5962,906
57:19.1,460,3330,8678,5961,904
05:09.8,461,3330,8659,5971,903
13:00.5,462,3330,8678,5961,904
20:51.2,463,3330,8658,5972,915
28:41.6,464,3330,8659,5962,904
36:32.3,465,3330,8628,5961,905
44:22.8,466,3329,8658,5962,905
52:13.2,467,3330,8638,5961,904
00:04.0,468,3330,8658,5961,904
07:54.2,469,3329,8647,5961,904
15:45.0,470,3329,8628,5951,894
23:35.5,471,3319,8658,5961,903
31:26.3,472,3329,8638,5951,894
39:16.9,473,3320,8628,5951,874
47:07.5,474,3320,8638,5949,882
54:57.9,475,3320,8619,5950,894
02:48.6,476,3319,8657,5950,893
10:39.1,477,3310,8630,5940,892
19:43.0,478,3340,8648,5962,905
27:34.1,479,3330,8679,5962,904
35:24.6,480,3330,8678,5961,904
43:15.2,481,3330,8678,5951,904
51:05.8,482,3330,8639,5951,895
58:56.4,483,3320,8667,5951,884
06:46.7,484,3319,8648,5951,894
14:37.4,485,3320,8658,5961,895
22:27.8,486,3320,8656,5951,894
30:18.4,487,3320,8667,5951,894
38:09.0,488,3321,8659,5941,872
47:12.9,489,3329,8656,5971,915
55:03.8,490,3330,8649,5961,904
03:00.6,491,3325,8650,5961,884
11:12.5,492,3330,8658,5956,911
19:02.9,493,3329,8657,5981,913
26:53.3,494,3329,8668,5960,883
34:44.2,495,3330,8678,5961,905
42:34.8,496,3329,8658,5961,894
50:25.2,497,3330,8638,5961,894
58:15.9,498,3320,8659,5940,892
07:19.9,499,3339,8657,5961,905
15:10.2,500,3340,8679,5961,893
23:00.0,501,3330,8669,5961,894
30:50.5,502,3330,8638,5960,903
38:40.9,503,3330,8658,5961,904
47:05.5,504,3333,8627,5959,906
55:12.4,505,3320,8669,5960,903
03:01.5,506,3320,8679,5950,903
10:50.4,507,3320,8639,5960,893
18:39.5,508,3320,8669,5960,893
26:28.7,509,3321,8671,5941,882
35:31.2,510,3331,8668,5971,913
43:20.2,511,3330,8639,5970,904
51:09.5,512,3321,8631,5940,891
00:12.1,513,3330,8648,5961,903
08:01.1,514,3329,8648,5961,902
15:50.4,515,3320,8629,5961,904
23:39.7,516,3330,8669,5960,904
31:28.7,517,3330,8668,5951,893
39:17.9,518,3320,8689,5961,904
47:06.9,519,3320,8649,5961,904
54:56.1,520,3330,8658,5961,895
02:45.4,521,3320,8669,5949,892
10:34.5,522,3330,8649,5951,894
18:23.4,523,3310,8669,5950,883
26:12.6,524,3320,8658,5961,893
